Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: plus, Task type: greater, Task: 2 + 1, Correct answer: 3, Answered: 3, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 0/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: plus, Task type: greater, Task: 5 + 2, Correct answer: 7, Answered: 7, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 0/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: plus, Task type: greater, Task: 2 + 1, Correct answer: 3, Answered: 3, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 0/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: plus, Task type: same, Task: 2 + 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 0/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: plus, Task type: same, Task: 5 + 5, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 0/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: plus, Task type: greater, Task: 5 + 2, Correct answer: 7, Answered: 7, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 0/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: plus, Task type: greater, Task: 4 + 2, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 1/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: plus, Task type: greater, Task: 6 + 2, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 1/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: plus, Task type: greater, Task: 4 + 2, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 1/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: plus, Task type: greater, Task: 6 + 4, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 1/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: plus, Task type: greater, Task: 4 + 2, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 1/37,
